aerodromo,periodo,qtde_ocorr,perc_ocorr
SNKH,12:00 às 18:00,1,0.01
SNKI,12:00 às 18:00,1,0.01
SNKK,12:00 às 18:00,1,0.01
SWFV,12:00 às 18:00,1,0.01
SNLF,12:00 às 18:00,1,0.01
SNLM,12:00 às 18:00,1,0.01
SNLO,00:00 às 06:00,1,0.01
SNMA,00:00 às 06:00,1,0.01
SWTO,18:00 às 00:00,1,0.01
SNPD,18:00 às 00:00,1,0.01
SNPD,12:00 às 18:00,1,0.01
SWFX,00:00 às 06:00,1,0.01
SNPJ,18:00 às 00:00,1,0.01
SWEN,00:00 às 06:00,1,0.01
SNSW,18:00 às 00:00,1,0.01
SWUI,00:00 às 06:00,1,0.01
SNTF,18:00 às 00:00,1,0.01
SNTO,18:00 às 00:00,1,0.01
SNTO,00:00 às 06:00,1,0.01
SNTY,12:00 às 18:00,1,0.01
SWQI,00:00 às 06:00,1,0.01
SNTY,06:00 às 12:00,1,0.01
SNTZ,12:00 às 18:00,1,0.01
SNUH,12:00 às 18:00,1,0.01
SNUH,00:00 às 06:00,1,0.01
SNUN,18:00 às 00:00,1,0.01
SSCR,18:00 às 00:00,1,0.01
SWQE,18:00 às 00:00,1,0.01
SWGC,00:00 às 06:00,1,0.01
SNSG,00:00 às 06:00,1,0.01
SNRX,12:00 às 18:00,1,0.01
SNQX,06:00 às 12:00,1,0.01
SNPO,12:00 às 18:00,1,0.01
SNPX,06:00 às 12:00,1,0.01
SNPY,00:00 às 06:00,1,0.01
SNQV,18:00 às 00:00,1,0.01
SNQV,12:00 às 18:00,1,0.01
SWEW,12:00 às 18:00,1,0.01
SNRJ,18:00 às 00:00,1,0.01
SNRU,00:00 às 06:00,1,0.01
SWTS,18:00 às 00:00,1,0.01
SWEQ,12:00 às 18:00,1,0.01
SNRP,12:00 às 18:00,1,0.01
SWUI,18:00 às 00:00,1,0.01
SNRU,18:00 às 00:00,1,0.01
SNRU,12:00 às 18:00,1,0.01
SSCP,06:00 às 12:00,1,0.01
SSDP,18:00 às 00:00,1,0.01
SSCT,00:00 às 06:00,1,0.01
SSOK,18:00 às 00:00,1,0.01
SWWF,12:00 às 18:00,1,0.01
SWWU,00:00 às 06:00,1,0.01
SSOL,00:00 às 06:00,1,0.01
SNKB,00:00 às 06:00,1,0.01
SWKO,18:00 às 00:00,1,0.01
SWKN,00:00 às 06:00,1,0.01
SWXJ,00:00 às 06:00,1,0.01
SWXQ,18:00 às 00:00,1,0.01
SSOS,12:00 às 18:00,1,0.01
SWXQ,12:00 às 18:00,1,0.01
SSUV,12:00 às 18:00,1,0.01
SSOT,06:00 às 12:00,1,0.01
SSPB,00:00 às 06:00,1,0.01
SWKF,12:00 às 18:00,1,0.01
SWKC,06:00 às 12:00,1,0.01
SSOL,18:00 às 00:00,1,0.01
SWKO,00:00 às 06:00,1,0.01
SSCW,18:00 às 00:00,1,0.01
SWKT,12:00 às 18:00,1,0.01
SWVR,00:00 às 06:00,1,0.01
SWVW,00:00 às 06:00,1,0.01
SSNG,18:00 às 00:00,1,0.01
SSWF,06:00 às 12:00,1,0.01
SWIN,06:00 às 12:00,1,0.01
SWVZ,12:00 às 18:00,1,0.01
SSNH,06:00 às 12:00,1,0.01
SSNV,18:00 às 00:00,1,0.01
SWWA,12:00 às 18:00,1,0.01
SSVS,00:00 às 06:00,1,0.01
SWLC,18:00 às 00:00,1,0.01
SSVN,18:00 às 00:00,1,0.01
SWLB,00:00 às 06:00,1,0.01
SSVL,06:00 às 12:00,1,0.01
SSVA,12:00 às 18:00,1,0.01
SWKC,18:00 às 00:00,1,0.01
SSPG,18:00 às 00:00,1,0.01
SSUM,06:00 às 12:00,1,0.01
SSPI,18:00 às 00:00,1,0.01
SSQZ,18:00 às 00:00,1,0.01
SSQZ,12:00 às 18:00,1,0.01
SSRA,12:00 às 18:00,1,0.01
SWJN,12:00 às 18:00,1,0.01
SSRB,18:00 às 00:00,1,0.01
SSTH,12:00 às 18:00,1,0.01
SSRS,12:00 às 18:00,1,0.01
SSRS,00:00 às 06:00,1,0.01
SSRZ,18:00 às 00:00,1,0.01
SSRZ,00:00 às 06:00,1,0.01
SSSB,18:00 às 00:00,1,0.01
SWYH,00:00 às 06:00,1,0.01
SSSE,00:00 às 06:00,1,0.01
SSSG,06:00 às 12:00,1,0.01
SSSS,12:00 às 18:00,1,0.01
SSQW,12:00 às 18:00,1,0.01
SSTL,12:00 às 18:00,1,0.01
SSQT,00:00 às 06:00,1,0.01
SSPS,00:00 às 06:00,1,0.01
SWJW,00:00 às 06:00,1,0.01
SWJW,18:00 às 00:00,1,0.01
SSPL,12:00 às 18:00,1,0.01
SSPL,06:00 às 12:00,1,0.01
SSPO,18:00 às 00:00,1,0.01
SSPQ,18:00 às 00:00,1,0.01
SSUL,12:00 às 18:00,1,0.01
SWJN,06:00 às 12:00,1,0.01
SSPV,12:00 às 18:00,1,0.01
SSUB,18:00 às 00:00,1,0.01
SWJP,18:00 às 00:00,1,0.01
SWJN,00:00 às 06:00,1,0.01
SSPX,18:00 às 00:00,1,0.01
SSQI,18:00 às 00:00,1,0.01
SSNB,18:00 às 00:00,1,0.01
SWLC,00:00 às 06:00,1,0.01
SSMW,00:00 às 06:00,1,0.01
SSIE,06:00 às 12:00,1,0.01
SSGA,18:00 às 00:00,1,0.01
SSGB,12:00 às 18:00,1,0.01
SSGB,00:00 às 06:00,1,0.01
SWGN,12:00 às 18:00,1,0.01
SWGN,06:00 às 12:00,1,0.01
SSGG,12:00 às 18:00,1,0.01
SWYV,00:00 às 06:00,1,0.01
SSGP,12:00 às 18:00,1,0.01
SWGP,06:00 às 12:00,1,0.01
SWNK,18:00 às 00:00,1,0.01
SSGX,06:00 às 12:00,1,0.01
SSHA,12:00 às 18:00,1,0.01
SSHS,12:00 às 18:00,1,0.01
SSHS,00:00 às 06:00,1,0.01
SWFR,00:00 às 06:00,1,0.01
SWVC,06:00 às 12:00,1,0.01
SWGN,18:00 às 00:00,1,0.01
SSFE,12:00 às 18:00,1,0.01
SSER,06:00 às 12:00,1,0.01
SSDK,18:00 às 00:00,1,0.01
SSDO,12:00 às 18:00,1,0.01
SSDO,06:00 às 12:00,1,0.01
SSSZ,06:00 às 12:00,1,0.01
SSDP,12:00 às 18:00,1,0.01
SWNS,06:00 às 12:00,1,0.01
SSET,12:00 às 18:00,1,0.01
SSFC,00:00 às 06:00,1,0.01
SWCA,06:00 às 12:00,1,0.01
SWGM,00:00 às 06:00,1,0.01
SWUZ,00:00 às 06:00,1,0.01
SWNO,12:00 às 18:00,1,0.01
SSFB,00:00 às 06:00,1,0.01
SSFC,12:00 às 18:00,1,0.01
SWNH,06:00 às 12:00,1,0.01
SWVI,12:00 às 18:00,1,0.01
SSMK,00:00 às 06:00,1,0.01
SSIM,12:00 às 18:00,1,0.01
SWME,12:00 às 18:00,1,0.01
SWLW,06:00 às 12:00,1,0.01
SWLV,18:00 às 00:00,1,0.01
SWAT,00:00 às 06:00,1,0.01
SSKW,00:00 às 06:00,1,0.01
SWAQ,12:00 às 18:00,1,0.01
SSZR,18:00 às 00:00,1,0.01
SSZL,12:00 às 18:00,1,0.01
SSKZ,06:00 às 12:00,1,0.01
SSXO,00:00 às 06:00,1,0.01
SSKZ,00:00 às 06:00,1,0.01
SSXO,18:00 às 00:00,1,0.01
SSLT,18:00 às 00:00,1,0.01
SSLT,12:00 às 18:00,1,0.01
SSMH,12:00 às 18:00,1,0.01
SWME,06:00 às 12:00,1,0.01
SWMO,06:00 às 12:00,1,0.01
SWHP,00:00 às 06:00,1,0.01
SWNB,06:00 às 12:00,1,0.01
SSIQ,18:00 às 00:00,1,0.01
SSJA,12:00 às 18:00,1,0.01
SWNH,12:00 às 18:00,1,0.01
SSJL,18:00 às 00:00,1,0.01
SWGW,12:00 às 18:00,1,0.01
SWNG,00:00 às 06:00,1,0.01
SWMZ,18:00 às 00:00,1,0.01
SSKS,00:00 às 06:00,1,0.01
SWHP,18:00 às 00:00,1,0.01
SWBE,18:00 às 00:00,1,0.01
SSKM,18:00 às 00:00,1,0.01
SSKM,00:00 às 06:00,1,0.01
SWHP,06:00 às 12:00,1,0.01
SSKS,18:00 às 00:00,1,0.01
SWNH,00:00 às 06:00,1,0.01
SIAQ,18:00 às 00:00,1,0.01
SNJR,18:00 às 00:00,1,0.01
SDEN,00:00 às 06:00,1,0.01
SDCD,12:00 às 18:00,1,0.01
SDDN,12:00 às 18:00,1,0.01
SDDQ,12:00 às 18:00,1,0.01
SDDR,12:00 às 18:00,1,0.01
SDED,18:00 às 00:00,1,0.01
SDED,00:00 às 06:00,1,0.01
SDEE,18:00 às 00:00,1,0.01
SDEH,00:00 às 06:00,1,0.01
SDEM,18:00 às 00:00,1,0.01
SDEN,18:00 às 00:00,1,0.01
SDET,12:00 às 18:00,1,0.01
SDIO,06:00 às 12:00,1,0.01
SDET,06:00 às 12:00,1,0.01
SDFD,18:00 às 00:00,1,0.01
SDFD,12:00 às 18:00,1,0.01
SDGB,06:00 às 12:00,1,0.01
SDGC,18:00 às 00:00,1,0.01
SDGR,18:00 às 00:00,1,0.01
SDGX,12:00 às 18:00,1,0.01
SDHP,12:00 às 18:00,1,0.01
SDHU,12:00 às 18:00,1,0.01
SDIG,06:00 às 12:00,1,0.01
SDBV,00:00 às 06:00,1,0.01
SDBN,18:00 às 00:00,1,0.01
SDBK,12:00 às 18:00,1,0.01
SDBB,00:00 às 06:00,1,0.01
SBTR,00:00 às 06:00,1,0.01
SBTT,00:00 às 06:00,1,0.01
SBTV,00:00 às 06:00,1,0.01
SBUA,12:00 às 18:00,1,0.01
SBUF,00:00 às 06:00,1,0.01
SBUR,06:00 às 12:00,1,0.01
SBUY,12:00 às 18:00,1,0.01
SBUY,06:00 às 12:00,1,0.01
SBVG,18:00 às 00:00,1,0.01
SBVG,12:00 às 18:00,1,0.01
SBVH,18:00 às 00:00,1,0.01
SBZM,00:00 às 06:00,1,0.01
SD4V,12:00 às 18:00,1,0.01
SD6Y,12:00 às 18:00,1,0.01
SD8A,12:00 às 18:00,1,0.01
SD8H,06:00 às 12:00,1,0.01
SDAA,18:00 às 00:00,1,0.01
SDAE,12:00 às 18:00,1,0.01
SDAG,06:00 às 12:00,1,0.01
SDAI,00:00 às 06:00,1,0.01
SDBA,18:00 às 00:00,1,0.01
SDIL,00:00 às 06:00,1,0.01
SDJA,18:00 às 00:00,1,0.01
SBTK,12:00 às 18:00,1,0.01
SDOR,12:00 às 18:00,1,0.01
SDNE,06:00 às 12:00,1,0.01
SDNH,18:00 às 00:00,1,0.01
SDNH,06:00 às 12:00,1,0.01
SDNI,00:00 às 06:00,1,0.01
SDNO,00:00 às 06:00,1,0.01
SDNQ,00:00 às 06:00,1,0.01
SDNY,06:00 às 12:00,1,0.01
SDOI,18:00 às 00:00,1,0.01
SDOI,12:00 às 18:00,1,0.01
SDOR,18:00 às 00:00,1,0.01
SDP8,12:00 às 18:00,1,0.01
SDJA,06:00 às 12:00,1,0.01
SDPA,00:00 às 06:00,1,0.01
SDPG,18:00 às 00:00,1,0.01
SDPN,00:00 às 06:00,1,0.01
SDPW,06:00 às 12:00,1,0.01
SDQ4,06:00 às 12:00,1,0.01
SDQG,18:00 às 00:00,1,0.01
SDRC,12:00 às 18:00,1,0.01
SDRE,18:00 às 00:00,1,0.01
SDRJ,18:00 às 00:00,1,0.01
SDRK,00:00 às 06:00,1,0.01
SDNE,18:00 às 00:00,1,0.01
SDNB,00:00 às 06:00,1,0.01
SDNB,18:00 às 00:00,1,0.01
SDMV,18:00 às 00:00,1,0.01
SDJB,12:00 às 18:00,1,0.01
SDJC,18:00 às 00:00,1,0.01
SDJL,18:00 às 00:00,1,0.01
SDJL,06:00 às 12:00,1,0.01
SDJO,12:00 às 18:00,1,0.01
SDJO,06:00 às 12:00,1,0.01
SDKE,12:00 às 18:00,1,0.01
SDKH,18:00 às 00:00,1,0.01
SDLL,00:00 às 06:00,1,0.01
SDLO,18:00 às 00:00,1,0.01
SDLP,12:00 às 18:00,1,0.01
SDLY,12:00 às 18:00,1,0.01
SDLZ,00:00 às 06:00,1,0.01
SDMC,06:00 às 12:00,1,0.01
SDME,00:00 às 06:00,1,0.01
SDMH,18:00 às 00:00,1,0.01
SDMH,06:00 às 12:00,1,0.01
SDMJ,18:00 às 00:00,1,0.01
SDMJ,12:00 às 18:00,1,0.01
SDMJ,06:00 às 12:00,1,0.01
SDMM,12:00 às 18:00,1,0.01
SBTR,12:00 às 18:00,1,0.01
SBTG,18:00 às 00:00,1,0.01
SNJO,12:00 às 18:00,1,0.01
SBFS,00:00 às 06:00,1,0.01
SBCP,06:00 às 12:00,1,0.01
SBCR,18:00 às 00:00,1,0.01
SBCZ,00:00 às 06:00,1,0.01
SBEK,18:00 às 00:00,1,0.01
SBEK,12:00 às 18:00,1,0.01
SBEK,06:00 às 12:00,1,0.01
SBFE,12:00 às 18:00,1,0.01
SBFN,18:00 às 00:00,1,0.01
SBFN,00:00 às 06:00,1,0.01
SBFS,06:00 às 12:00,1,0.01
SBGP,18:00 às 00:00,1,0.01
SBJF,06:00 às 12:00,1,0.01
SBGP,00:00 às 06:00,1,0.01
SBGV,18:00 às 00:00,1,0.01
SBGV,12:00 às 18:00,1,0.01
SBGW,00:00 às 06:00,1,0.01
SBHT,06:00 às 12:00,1,0.01
SBIP,06:00 às 12:00,1,0.01
SBIP,00:00 às 06:00,1,0.01
SBIT,06:00 às 12:00,1,0.01
SBIT,00:00 às 06:00,1,0.01
SBIZ,18:00 às 00:00,1,0.01
SBCM,00:00 às 06:00,1,0.01
SBCJ,00:00 às 06:00,1,0.01
SBCH,00:00 às 06:00,1,0.01
SBCB,00:00 às 06:00,1,0.01
5JTI,06:00 às 12:00,1,0.01
9PAA,00:00 às 06:00,1,0.01
9PBS,18:00 às 00:00,1,0.01
9PEB,06:00 às 12:00,1,0.01
9PFC,12:00 às 18:00,1,0.01
9PHD,06:00 às 12:00,1,0.01
9PKD,00:00 às 06:00,1,0.01
9PSD,12:00 às 18:00,1,0.01
SBAE,06:00 às 12:00,1,0.01
SBAN,06:00 às 12:00,1,0.01
SBAQ,12:00 às 18:00,1,0.01
SBAQ,06:00 às 12:00,1,0.01
SBAT,12:00 às 18:00,1,0.01
SBAU,06:00 às 12:00,1,0.01
SBAX,00:00 às 06:00,1,0.01
SBBG,12:00 às 18:00,1,0.01
SBBQ,00:00 às 06:00,1,0.01
SBBV,06:00 às 12:00,1,0.01
SBBW,18:00 às 00:00,1,0.01
SBBW,00:00 às 06:00,1,0.01
SBBZ,00:00 às 06:00,1,0.01
SBIZ,06:00 às 12:00,1,0.01
SBJH,12:00 às 18:00,1,0.01
SBTF,18:00 às 00:00,1,0.01
SBSG,06:00 às 12:00,1,0.01
SBPL,06:00 às 12:00,1,0.01
SBPN,12:00 às 18:00,1,0.01
SBPN,00:00 às 06:00,1,0.01
SBPO,18:00 às 00:00,1,0.01
SBPO,00:00 às 06:00,1,0.01
SBPP,00:00 às 06:00,1,0.01
SBQE,18:00 às 00:00,1,0.01
SBRD,18:00 às 00:00,1,0.01
SBRD,00:00 às 06:00,1,0.01
SBSC,18:00 às 00:00,1,0.01
SBSI,12:00 às 18:00,1,0.01
SBJH,00:00 às 06:00,1,0.01
SBSM,18:00 às 00:00,1,0.01
SBSM,06:00 às 12:00,1,0.01
SBSM,00:00 às 06:00,1,0.01
SBSO,12:00 às 18:00,1,0.01
SBST,18:00 às 00:00,1,0.01
SBST,06:00 às 12:00,1,0.01
SBST,00:00 às 06:00,1,0.01
SBTA,00:00 às 06:00,1,0.01
SBTD,18:00 às 00:00,1,0.01
SBTD,06:00 às 12:00,1,0.01
SBPK,06:00 às 12:00,1,0.01
SBPG,00:00 às 06:00,1,0.01
SBPF,06:00 às 12:00,1,0.01
SBPC,00:00 às 06:00,1,0.01
SBKG,18:00 às 00:00,1,0.01
SBKG,06:00 às 12:00,1,0.01
SBKG,00:00 às 06:00,1,0.01
SBLE,18:00 às 00:00,1,0.01
SBLE,12:00 às 18:00,1,0.01
SBLJ,18:00 às 00:00,1,0.01
SBMD,12:00 às 18:00,1,0.01
SBMD,00:00 às 06:00,1,0.01
SBMI,18:00 às 00:00,1,0.01
SBMI,00:00 às 06:00,1,0.01
SBML,06:00 às 12:00,1,0.01
SBMQ,06:00 às 12:00,1,0.01
SBMY,18:00 às 00:00,1,0.01
SBMY,12:00 às 18:00,1,0.01
SBMY,06:00 às 12:00,1,0.01
SBNM,00:00 às 06:00,1,0.01
SBNT,06:00 às 12:00,1,0.01
SBOI,06:00 às 12:00,1,0.01
SBOQ,00:00 às 06:00,1,0.01
SBPB,12:00 às 18:00,1,0.01
SBPC,06:00 às 12:00,1,0.01
SDRP,12:00 às 18:00,1,0.01
SDRQ,12:00 às 18:00,1,0.01
SDSC,18:00 às 00:00,1,0.01
SNAX,00:00 às 06:00,1,0.01
SJYG,12:00 às 18:00,1,0.01
SJYR,12:00 às 18:00,1,0.01
SNAG,18:00 às 00:00,1,0.01
SNAL,12:00 às 18:00,1,0.01
SNAR,12:00 às 18:00,1,0.01
SNAS,12:00 às 18:00,1,0.01
SNAU,18:00 às 00:00,1,0.01
SNAU,12:00 às 18:00,1,0.01
SNAU,06:00 às 12:00,1,0.01
SNAU,00:00 às 06:00,1,0.01
SNAZ,12:00 às 18:00,1,0.01
SNCX,00:00 às 06:00,1,0.01
SNBA,18:00 às 00:00,1,0.01
SNBG,00:00 às 06:00,1,0.01
SNBR,00:00 às 06:00,1,0.01
SNBS,18:00 às 00:00,1,0.01
SNCJ,18:00 às 00:00,1,0.01
SNCJ,12:00 às 18:00,1,0.01
SNCJ,00:00 às 06:00,1,0.01
SNCL,12:00 às 18:00,1,0.01
SNCT,06:00 às 12:00,1,0.01
SNCV,18:00 às 00:00,1,0.01
SJXM,12:00 às 18:00,1,0.01
SJVX,12:00 às 18:00,1,0.01
SJVO,00:00 às 06:00,1,0.01
SJVO,12:00 às 18:00,1,0.01
SJLU,00:00 às 06:00,1,0.01
SJLY,18:00 às 00:00,1,0.01
SJLY,12:00 às 18:00,1,0.01
SJNC,18:00 às 00:00,1,0.01
SJNP,18:00 às 00:00,1,0.01
SJNP,00:00 às 06:00,1,0.01
SJNQ,00:00 às 06:00,1,0.01
SJOD,00:00 às 06:00,1,0.01
SJOG,12:00 às 18:00,1,0.01
SJOG,06:00 às 12:00,1,0.01
SJPR,18:00 às 00:00,1,0.01
SJPT,18:00 às 00:00,1,0.01
SJPT,12:00 às 18:00,1,0.01
SJQI,12:00 às 18:00,1,0.01
SJQN,18:00 às 00:00,1,0.01
SJRG,06:00 às 12:00,1,0.01
SJRG,00:00 às 06:00,1,0.01
SJSH,12:00 às 18:00,1,0.01
SJTO,12:00 às 18:00,1,0.01
SJVL,18:00 às 00:00,1,0.01
SJVO,18:00 às 00:00,1,0.01
SNCW,18:00 às 00:00,1,0.01
SNDC,18:00 às 00:00,1,0.01
SDSC,00:00 às 06:00,1,0.01
SNIC,18:00 às 00:00,1,0.01
SNGU,12:00 às 18:00,1,0.01
SNGV,00:00 às 06:00,1,0.01
SNGW,00:00 às 06:00,1,0.01
SNGX,12:00 às 18:00,1,0.01
SNHB,00:00 às 06:00,1,0.01
SNHD,18:00 às 00:00,1,0.01
SNHE,12:00 às 18:00,1,0.01
SNHH,18:00 às 00:00,1,0.01
SNHN,06:00 às 12:00,1,0.01
SNHS,12:00 às 18:00,1,0.01
SNIF,12:00 às 18:00,1,0.01
SNDC,00:00 às 06:00,1,0.01
SNIG,18:00 às 00:00,1,0.01
SNIG,06:00 às 12:00,1,0.01
SNIT,12:00 às 18:00,1,0.01
SNIT,06:00 às 12:00,1,0.01
SNIZ,06:00 às 12:00,1,0.01
SNJI,06:00 às 12:00,1,0.01
SNJK,18:00 às 00:00,1,0.01
SNJL,18:00 às 00:00,1,0.01
SNJL,00:00 às 06:00,1,0.01
SNJN,18:00 às 00:00,1,0.01
SNGU,18:00 às 00:00,1,0.01
SNGS,12:00 às 18:00,1,0.01
SNGS,18:00 às 00:00,1,0.01
SNGQ,18:00 às 00:00,1,0.01
SNDH,00:00 às 06:00,1,0.01
SNDP,06:00 às 12:00,1,0.01
SNDR,12:00 às 18:00,1,0.01
SNDT,18:00 às 00:00,1,0.01
SNDT,06:00 às 12:00,1,0.01
SNDT,00:00 às 06:00,1,0.01
SNDU,12:00 às 18:00,1,0.01
SNDV,06:00 às 12:00,1,0.01
SNEB,12:00 às 18:00,1,0.01
SNEJ,18:00 às 00:00,1,0.01
SNEM,12:00 às 18:00,1,0.01
SNEM,00:00 às 06:00,1,0.01
SNFE,12:00 às 18:00,1,0.01
SNFJ,06:00 às 12:00,1,0.01
SNFS,06:00 às 12:00,1,0.01
SNFX,18:00 às 00:00,1,0.01
SNGA,18:00 às 00:00,1,0.01
SNGA,00:00 às 06:00,1,0.01
SNGG,06:00 às 12:00,1,0.01
SNGG,00:00 às 06:00,1,0.01
SNGI,12:00 às 18:00,1,0.01
SJLU,18:00 às 00:00,1,0.01
SJLO,12:00 às 18:00,1,0.01
SJLO,18:00 às 00:00,1,0.01
SIHC,12:00 às 18:00,1,0.01
SIBH,18:00 às 00:00,1,0.01
SIBH,00:00 às 06:00,1,0.01
SIBX,18:00 às 00:00,1,0.01
SICJ,12:00 às 18:00,1,0.01
SICM,12:00 às 18:00,1,0.01
SIEK,12:00 às 18:00,1,0.01
SIFH,18:00 às 00:00,1,0.01
SIFQ,00:00 às 06:00,1,0.01
SIFV,00:00 às 06:00,1,0.01
SIFW,12:00 às 18:00,1,0.01
SIHC,06:00 às 12:00,1,0.01
SJLJ,18:00 às 00:00,1,0.01
SIJG,12:00 às 18:00,1,0.01
SIJY,12:00 às 18:00,1,0.01
SIKC,18:00 às 00:00,1,0.01
SILC,06:00 às 12:00,1,0.01
SILT,00:00 às 06:00,1,0.01
SIMB,18:00 às 00:00,1,0.01
SIMB,12:00 às 18:00,1,0.01
SIMB,00:00 às 06:00,1,0.01
SIMK,12:00 às 18:00,1,0.01
SIMK,00:00 às 06:00,1,0.01
SIAV,00:00 às 06:00,1,0.01
SIAN,00:00 às 06:00,1,0.01
SIAN,18:00 às 00:00,1,0.01
SIAE,00:00 às 06:00,1,0.01
SDTB,06:00 às 12:00,1,0.01
SDTI,18:00 às 00:00,1,0.01
SDTK,18:00 às 00:00,1,0.01
SDTO,06:00 às 12:00,1,0.01
SDUB,00:00 às 06:00,1,0.01
SDUL,18:00 às 00:00,1,0.01
SDVH,06:00 às 12:00,1,0.01
SDVK,12:00 às 18:00,1,0.01
SDVL,06:00 às 12:00,1,0.01
SDVO,06:00 às 12:00,1,0.01
SDW6,00:00 às 06:00,1,0.01
SDWC,06:00 às 12:00,1,0.01
SDWU,12:00 às 18:00,1,0.01
SDWV,18:00 às 00:00,1,0.01
SDXF,06:00 às 12:00,1,0.01
SDXF,00:00 às 06:00,1,0.01
SDYF,00:00 às 06:00,1,0.01
SDYJ,18:00 às 00:00,1,0.01
SDYW,18:00 às 00:00,1,0.01
SDZS,06:00 às 12:00,1,0.01
SDZX,06:00 às 12:00,1,0.01
SIMQ,12:00 às 18:00,1,0.01
SING,06:00 às 12:00,1,0.01
SIOE,00:00 às 06:00,1,0.01
SJAH,12:00 às 18:00,1,0.01
SJBH,00:00 às 06:00,1,0.01
SJBM,12:00 às 18:00,1,0.01
SJBX,00:00 às 06:00,1,0.01
SJBY,12:00 às 18:00,1,0.01
SJBY,06:00 às 12:00,1,0.01
SJCG,00:00 às 06:00,1,0.01
SJCM,18:00 às 00:00,1,0.01
SJCY,18:00 às 00:00,1,0.01
SJCY,06:00 às 12:00,1,0.01
SJDU,06:00 às 12:00,1,0.01
SJEH,12:00 às 18:00,1,0.01
SJFM,18:00 às 00:00,1,0.01
SJFU,12:00 às 18:00,1,0.01
SJGJ,00:00 às 06:00,1,0.01
SJGL,12:00 às 18:00,1,0.01
SJHG,06:00 às 12:00,1,0.01
SJHR,18:00 às 00:00,1,0.01
SJIF,18:00 às 00:00,1,0.01
SJIJ,00:00 às 06:00,1,0.01
SJJJ,00:00 às 06:00,1,0.01
SJKI,12:00 às 18:00,1,0.01
SJBH,06:00 às 12:00,1,0.01
SIZM,12:00 às 18:00,1,0.01
SION,12:00 às 18:00,1,0.01
SIXZ,12:00 às 18:00,1,0.01
SIOZ,12:00 às 18:00,1,0.01
SIPB,18:00 às 00:00,1,0.01
SIPB,12:00 às 18:00,1,0.01
SIPO,18:00 às 00:00,1,0.01
SIPO,12:00 às 18:00,1,0.01
SIPU,06:00 às 12:00,1,0.01
SIPY,06:00 às 12:00,1,0.01
SIQH,18:00 às 00:00,1,0.01
SIQK,18:00 às 00:00,1,0.01
SIQV,00:00 às 06:00,1,0.01
SIRI,18:00 às 00:00,1,0.01
SIRS,12:00 às 18:00,1,0.01
SISN,06:00 às 12:00,1,0.01
SISY,00:00 às 06:00,1,0.01
SIUD,12:00 às 18:00,1,0.01
SIVB,00:00 às 06:00,1,0.01
SIVN,00:00 às 06:00,1,0.01
SIVQ,18:00 às 00:00,1,0.01
SIXE,18:00 às 00:00,1,0.01
SIXE,06:00 às 12:00,1,0.01
SIXE,00:00 às 06:00,1,0.01
SWYW,00:00 às 06:00,1,0.01
