aerodromo,periodo,qtde_ocorr,perc_ocorr
SBBE,00:00 às 06:00,24,0.24
SBBP,12:00 às 18:00,23,0.23
SBBI,18:00 às 00:00,23,0.23
SBFL,00:00 às 06:00,23,0.23
SBCY,00:00 às 06:00,22,0.22
SBNF,12:00 às 18:00,21,0.21
SBRP,12:00 às 18:00,21,0.21
SBJD,00:00 às 06:00,21,0.21
SBUL,18:00 às 00:00,21,0.21
SBMT,06:00 às 12:00,21,0.21
SBLO,06:00 às 12:00,20,0.2
SBGO,06:00 às 12:00,19,0.19
SBCG,00:00 às 06:00,19,0.19
SBCG,12:00 às 18:00,19,0.19
SBRP,00:00 às 06:00,19,0.19
SBUL,12:00 às 18:00,18,0.18
SBSP,06:00 às 12:00,18,0.18
SBVT,12:00 às 18:00,18,0.18
SBMG,12:00 às 18:00,18,0.18
SBFL,12:00 às 18:00,18,0.18
SBRJ,06:00 às 12:00,18,0.18
SBBH,06:00 às 12:00,18,0.18
SBBP,18:00 às 00:00,18,0.18
SBJR,00:00 às 06:00,18,0.18
****,12:00 às 18:00,17,0.17
SBJV,12:00 às 18:00,16,0.16
SBVT,18:00 às 00:00,16,0.16
SDCO,12:00 às 18:00,16,0.16
SBPA,06:00 às 12:00,16,0.16
SBUL,00:00 às 06:00,16,0.16
SBCT,06:00 às 12:00,15,0.15
SDAM,12:00 às 18:00,15,0.15
SBBI,00:00 às 06:00,15,0.15
SBRB,12:00 às 18:00,15,0.15
SBME,12:00 às 18:00,14,0.14
SBRP,06:00 às 12:00,14,0.14
SBME,00:00 às 06:00,14,0.14
SBSL,12:00 às 18:00,14,0.14
SBFL,06:00 às 12:00,14,0.14
SBSR,18:00 às 00:00,14,0.14
APUA,06:00 às 12:00,14,0.14
SWFN,12:00 às 18:00,13,0.13
****,18:00 às 00:00,13,0.13
SBFI,12:00 às 18:00,13,0.13
SBNF,00:00 às 06:00,13,0.13
SBPV,00:00 às 06:00,13,0.13
SBVT,00:00 às 06:00,12,0.12
SBVT,06:00 às 12:00,12,0.12
SBPJ,12:00 às 18:00,12,0.12
SBSR,00:00 às 06:00,12,0.12
SBNV,00:00 às 06:00,12,0.12
SBRB,00:00 às 06:00,11,0.11
SBBE,06:00 às 12:00,11,0.11
APUA,12:00 às 18:00,11,0.11
SBNF,06:00 às 12:00,11,0.11
SBJF,12:00 às 18:00,11,0.11
SBPJ,00:00 às 06:00,11,0.11
SBSN,12:00 às 18:00,11,0.11
SBMG,00:00 às 06:00,11,0.11
SBMG,18:00 às 00:00,11,0.11
SBJD,06:00 às 12:00,11,0.11
SBTE,12:00 às 18:00,10,0.1
SBPS,12:00 às 18:00,10,0.1
SBMA,12:00 às 18:00,10,0.1
SBSJ,00:00 às 06:00,10,0.1
SBSL,00:00 às 06:00,10,0.1
SIXE,12:00 às 18:00,10,0.1
SBCP,12:00 às 18:00,10,0.1
SBCY,06:00 às 12:00,10,0.1
SWFN,18:00 às 00:00,10,0.1
SDAI,12:00 às 18:00,10,0.1
SDCO,18:00 às 00:00,10,0.1
SBJV,18:00 às 00:00,9,0.09
SBRB,18:00 às 00:00,9,0.09
SBME,06:00 às 12:00,9,0.09
SBJP,12:00 às 18:00,9,0.09
SBFI,00:00 às 06:00,9,0.09
SBTE,18:00 às 00:00,9,0.09
SBFZ,06:00 às 12:00,9,0.09
SBBP,00:00 às 06:00,9,0.09
SDPW,12:00 às 18:00,9,0.09
SBSL,18:00 às 00:00,9,0.09
SBPR,00:00 às 06:00,9,0.09
SBJC,12:00 às 18:00,9,0.09
SSOK,12:00 às 18:00,9,0.09
SDEN,12:00 às 18:00,8,0.08
SBSN,06:00 às 12:00,8,0.08
SIVU,12:00 às 18:00,8,0.08
SWFN,00:00 às 06:00,8,0.08
SBNF,18:00 às 00:00,8,0.08
SDAM,00:00 às 06:00,8,0.08
SBCA,12:00 às 18:00,8,0.08
SBUR,12:00 às 18:00,8,0.08
SDTB,12:00 às 18:00,8,0.08
SBTF,12:00 às 18:00,8,0.08
SBPR,18:00 às 00:00,8,0.08
SBMA,18:00 às 00:00,8,0.08
SBCB,12:00 às 18:00,8,0.08
SBBU,12:00 às 18:00,8,0.08
SBMO,18:00 às 00:00,8,0.08
SBPV,18:00 às 00:00,7,0.07
SBJF,18:00 às 00:00,7,0.07
SBBU,18:00 às 00:00,7,0.07
SWLV,12:00 às 18:00,7,0.07
SBMK,12:00 às 18:00,7,0.07
SBNV,06:00 às 12:00,7,0.07
SBSJ,18:00 às 00:00,7,0.07
SSBN,12:00 às 18:00,7,0.07
SBBI,06:00 às 12:00,7,0.07
SBME,18:00 às 00:00,7,0.07
SBMO,12:00 às 18:00,7,0.07
SBNV,18:00 às 00:00,7,0.07
SDVH,12:00 às 18:00,7,0.07
SDVH,18:00 às 00:00,7,0.07
SBCA,18:00 às 00:00,7,0.07
SDPW,18:00 às 00:00,7,0.07
SDAM,18:00 às 00:00,7,0.07
SBUL,06:00 às 12:00,7,0.07
SBIL,00:00 às 06:00,7,0.07
SBIL,18:00 às 00:00,7,0.07
SBJC,00:00 às 06:00,6,0.06
SSKT,18:00 às 00:00,6,0.06
SBTE,00:00 às 06:00,6,0.06
SBCA,00:00 às 06:00,6,0.06
SNDV,12:00 às 18:00,6,0.06
SDIH,12:00 às 18:00,6,0.06
SNPA,00:00 às 06:00,6,0.06
SBML,12:00 às 18:00,6,0.06
SDAG,12:00 às 18:00,6,0.06
SDTB,18:00 às 00:00,6,0.06
SBPG,18:00 às 00:00,6,0.06
SSKG,18:00 às 00:00,6,0.06
SBDN,12:00 às 18:00,6,0.06
SDCO,00:00 às 06:00,6,0.06
SBCZ,18:00 às 00:00,6,0.06
SBCX,12:00 às 18:00,6,0.06
SBTE,06:00 às 12:00,6,0.06
SDMC,12:00 às 18:00,6,0.06
SBJR,06:00 às 12:00,6,0.06
SBIZ,12:00 às 18:00,6,0.06
SBSN,00:00 às 06:00,6,0.06
APUA,00:00 às 06:00,6,0.06
SBJU,12:00 às 18:00,6,0.06
SBJU,00:00 às 06:00,6,0.06
SBJP,06:00 às 12:00,5,0.05
****,00:00 às 06:00,5,0.05
SWPD,12:00 às 18:00,5,0.05
SWUZ,18:00 às 00:00,5,0.05
SBAR,12:00 às 18:00,5,0.05
SBPJ,18:00 às 00:00,5,0.05
SSNH,12:00 às 18:00,5,0.05
SNPA,18:00 às 00:00,5,0.05
SBFI,18:00 às 00:00,5,0.05
SSBL,12:00 às 18:00,5,0.05
APUA,18:00 às 00:00,5,0.05
SWCA,12:00 às 18:00,5,0.05
SBMQ,00:00 às 06:00,5,0.05
SDAI,18:00 às 00:00,5,0.05
SBPF,12:00 às 18:00,5,0.05
SDUB,12:00 às 18:00,5,0.05
SBAU,18:00 às 00:00,5,0.05
SWNS,18:00 às 00:00,5,0.05
SWFR,12:00 às 18:00,5,0.05
SBAU,12:00 às 18:00,5,0.05
SBMQ,12:00 às 18:00,5,0.05
****,06:00 às 12:00,5,0.05
SSCN,12:00 às 18:00,5,0.05
SBMA,00:00 às 06:00,5,0.05
SBLJ,12:00 às 18:00,5,0.05
SBSR,06:00 às 12:00,5,0.05
SBBV,12:00 às 18:00,5,0.05
SBPS,00:00 às 06:00,5,0.05
SDPW,00:00 às 06:00,5,0.05
SBSM,12:00 às 18:00,5,0.05
SBMA,06:00 às 12:00,5,0.05
SBBV,18:00 às 00:00,5,0.05
SBJV,00:00 às 06:00,5,0.05
SBVC,00:00 às 06:00,5,0.05
SSIE,12:00 às 18:00,4,0.04
SWLC,12:00 às 18:00,4,0.04
SBSN,18:00 às 00:00,4,0.04
SDRS,12:00 às 18:00,4,0.04
SDTK,12:00 às 18:00,4,0.04
SSIE,18:00 às 00:00,4,0.04
SDTF,12:00 às 18:00,4,0.04
